Response ID,Questionnaire Type,Session ID,Submission Time,Q1. What agency do you work for?,Q2. At what level do you work?,Q3. What position do you currently hold?,Q4. How many years of experience do you have in road asset management?,Q5. What is your primary involvement?,Q6. Which of the following indicators are primarily used to assess or report pavement condition in the road network you work with?,Q7. To what degree are maintenance planning decisions in your network linked to documented pavement condition data and technical analysis?,"Q8. In your experience, which of the following factors most influence annual maintenance and rehabilitation prioritization in your network?","Q9. Does your agency maintain repeated condition measurements (e.g., IRI or visual surface condition ratings) for the same road sections over multiple years?","Q10. Are maintenance histories (records of when and where routine, periodic, rehabilitation and reconstruction treatments were applied over multiple years) kept and linked to condition data?","Q11. Do you agree or disagree with the following statement? ""Availability of historical pavement condition records and maintenance history information affects planning decisions.""","Q12. Based on your experience, are some types of roads more likely than others to receive condition measurements (e.g., IRI)? If you answer Yes, please complete Q13 below. If you answer No or Not sure, you may leave Q13 blank",Q13. What factors influence measurement coverage in your experience? (Complete only if you answered Yes to Q12.),"Q14. In your experience, does road condition influence where instrumented condition measurements (e.g., IRI) are carried out?","Q15. Do you agree or disagree with the following statement? ""Differences in measurement coverage across the road network influence maintenance planning outcomes.""",Q16. Does your agency use any formal method to forecast future pavement condition?,"Q17. Do you agree or disagree with the following statement? ""Current forecasting approaches reflect actual pavement deterioration patterns observed in the field.""",Q18. What are the biggest barriers to structured deterioration modelling?,If deterioration forecasts wer – Multi-year budgeting,If deterioration forecasts wer – Treatment timing decisions,If deterioration forecasts wer – Network-level optimisation,If deterioration forecasts wer – Risk-based prioritisation,If deterioration forecasts wer – Justification of funding requests,"Q20. Where condition data are missing, how likely are you to consider the usage of analytical methods to estimate condition based on available network characteristics (e.g., road class, traffic level, pavement type, drainage condition, shoulder type, environmental and regional context)?",Q21. Under what conditions would you consider model-estimated or reconstructed condition data reliable for planning decisions?,If model-estimated or reconstr – Network-level performance analysis,If model-estimated or reconstr – Life-cycle modelling and long-term planning,If model-estimated or reconstr – Treatment timing and optimisation,If model-estimated or reconstr – Budget allocation and justification,Q23. How familiar are you with the usage of road infrastructure database for improving road maintenance planning and decision making?,Q24. How familiar are you with the application of Artificial Intelligence (AI) for improving road maintenance planning and decision making?,Q25. How familiar are you with the application of data analytics for improving road maintenance planning and decision making?,Q26. How familiar are you with the application of Multi-Criteria Decision Analysis (MCDA) for improving road maintenance planning and decision making?,"Q27. What practical improvements in data systems, institutional approaches, or technical capacity would most strengthen pavement performance management in Kenya?","Q28. Do you have any additional comments or recommendations regarding forecasting, modelling, or use of condition data in road asset management and planning?"
38,Pavement Management,session_1774952573_f4538a3b,2026-03-31 13:40:32,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,> 20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Engineering site inspection without formal rating",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Strongly agree,Yes,Road class/strategic priority; Budget limitations; Complaint-driven inspections,Yes – measurements tend to focus on roads in poorer condition,Agree,No formal forecasting,Agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Difficult accessibility of historical records,Large impact,Very large impact,Large impact,Large impact,Moderate impact,Likely to consider,"Demonstrated agreement with measured field data; Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation; Approval by a recognized authority (e.g., KRB)",Very useful,Very useful,Extremely useful,Very useful,Moderately familiar,Slightly familiar,Slightly familiar,Moderately familiar,Data storage and access to be improved.,This is a welcome approach.
37,Pavement Management,session_1774951705_0d642be1,2026-03-31 13:32:21,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction","Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded and partially linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Regional accessibility; Roads under special programmes; Complaint-driven inspections,Yes – measurements tend to focus on roads in poorer condition,Agree,Informal engineering judgement,Agree,"Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Software/tool limitations",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Likely to consider,"Demonstrated agreement with measured field data; Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Slightly familiar,Slightly familiar,Slightly familiar,"Historical data keeping
Use of Analysis models
use of AI analysis and predictions",as above
36,Pavement Management,session_1774951661_0afc44f1,2026-03-31 13:19:27,KeRRA,"Regional office (regional work planning, implementation)",Senior Engineer,> 20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Maintenance history; Equity considerations (across regions/constituencies),"Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded and partially linked to condition data,Neither agree nor disagree,Yes,Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Regional accessibility,Not sure,Agree,Informal engineering judgement,Neither agree nor disagree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Difficult accessibility of historical records; Software/tool limitations,Moderate impact,Moderate impact,Small impact,Small impact,Moderate impact,Likely to consider,"Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Moderately useful,Moderately useful,Slightly useful,Very useful,Very familiar,Not at all familiar,Moderately familiar,Slightly familiar,Continous training and sensitisations of key technical staff,The agency should finance research and data collection and storage methods
35,Pavement Management,session_1774943569_17ad9224,2026-03-31 13:16:50,KRB,"Regional office (regional work planning, implementation)",Senior Engineer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,Budget ceilings; Political or policy direction,Very limited continuity (only occasional repeats),Recorded but generally not linked to condition data,Neither agree nor disagree,Yes,Budget limitations; Equipment availability or personnel skills,Yes – measurements tend to focus on roads in better condition,Neither agree nor disagree,Informal engineering judgement,Disagree,Difficult accessibility of historical records,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Likely to consider,Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation,Very useful,Very useful,Very useful,Very useful,Slightly familiar,Slightly familiar,Very familiar,Very familiar,Use of AI and machine learning,Consideration to formally adapt AI and Machien Learning
34,Pavement Management,session_1774950142_dc756034,2026-03-31 13:02:24,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,> 20 years,Maintenance planning/prioritisation; Road Management System (RMS) development and use/Data management,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,Budget ceilings; Political or policy direction; Public complaints; Equity considerations (across regions/constituencies),"Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded sporadically and not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Roads under special programmes,Yes – measurements tend to focus on roads in poorer condition,Neither agree nor disagree,Informal engineering judgement,Neither agree nor disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Large impact,Large impact,Large impact,Large impact,Very large impact,Likely to consider,Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Only when direct measurements are unavailable,Very useful,Very useful,Very useful,Very useful,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,"Adoption of clear tested methods,training of users",No
33,Pavement Management,session_1774947689_5f04d295,2026-03-31 12:38:48,KeRRA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury; Policy formulation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements",No systematic continuity (measurements are not repeated for the same sections),Not systematically recorded,Agree,Yes,Traffic importance; Road class/strategic priority; Complaint-driven inspections,Yes – measurements tend to focus on roads in better condition,Strongly agree,No formal forecasting,Neither agree nor disagree,"Missing or unreliable maintenance histories; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Very large impact,Very large impact,Large impact,Large impact,Very large impact,Unlikely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately familiar,Slightly familiar,Slightly familiar,Slightly familiar,"- Structured data collection and analysis; 
- Enhancement of skills and knowledge among data collectors, analysts; 
- Support from the relevant bodies for adoption of arrived conclusions from the data; 
- Reduced political interference in decision making","- Adoption of standard metric of system for the assessment of the roads for each road class would help in the practicality of the data. 
- Possible centralization of the data, for instance with KRB, to ensure ease of accessibility, updates, and analysis, and fairness in maintenance decision making."
32,Pavement Management,session_1774944436_42d05b36,2026-03-31 12:32:03,KeRRA,Headquarters (national coordination),Senior Engineer,10–20 years,Pavement condition assessment; Road Management System (RMS) development and use/Data management,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies),No systematic continuity (measurements are not repeated for the same sections),Recorded but generally not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Regional accessibility; Roads under special programmes; Traffic management or safety considerations,Yes – measurements tend to focus on roads in better condition,Strongly agree,Informal engineering judgement,Disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Limited integration between data systems (condition, maintenance, planning)",Large impact,Large impact,Very large impact,Large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Extremely useful,Very useful,Very useful,Extremely useful,Moderately familiar,Slightly familiar,Slightly familiar,Slightly familiar,"Ensure consistent pavement condition surveys across road networks, alongside improvements in knowledge management frameworks to support a centralized data repository and facilitate easy access to critical information.","There is a need to strengthen policy frameworks and enhance linkages to ensure that decision-making is driven by data, rather than relying solely on expert or technical knowledge."
31,Pavement Management,session_1774948291_503d4ac3,2026-03-31 12:24:27,KeRRA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,> 20 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a large degree,Equity considerations (across regions/constituencies),"Irregular continuity (some repeated measurements, but inconsistent over time)",Not systematically recorded,Strongly agree,Yes,Road class/strategic priority,Yes – measurements tend to focus on roads in better condition,Strongly agree,Informal engineering judgement,Strongly agree,Limited technical skills or modelling expertise,Small impact,Moderate impact,Moderate impact,Moderate impact,Small impact,Very unlikely to consider,Demonstrated agreement with measured field data,Very useful,Very useful,Moderately useful,Moderately useful,Moderately familiar,Slightly familiar,Moderately familiar,Slightly familiar,Enhance road asset information quality management.,Consider strategic road asset management beyond operational and technical considerations.
30,Pavement Management,session_1774946392_41ebd09a,2026-03-31 12:01:42,KeRRA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Structural Number (SN); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Equity considerations (across regions/constituencies)",Very limited continuity (only occasional repeats),Recorded but generally not linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Regional accessibility,Yes – measurements tend to focus on roads in poorer condition,Agree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records",Large impact,Large impact,Large impact,Large impact,Large impact,Likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Slightly familiar,Slightly familiar,Slightly familiar,"Addressing data quality at the source, standardize formats and interoperability and modernizing storage",Implementation of continuous monitoring of data systems and define clear data strategy and policy
29,Pavement Management,session_1774946497_fb03c9ca,2026-03-31 11:54:32,KeRRA,Headquarters (national coordination),Assistant Director/Principal Engineer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI)",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Maintenance history; Engineer/Inspector judgement",Very limited continuity (only occasional repeats),Recorded and partially linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Complaint-driven inspections; Traffic management or safety considerations,Yes – measurements tend to focus on roads in poorer condition,Agree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records",Large impact,Large impact,Large impact,Large impact,Very large impact,Very unlikely to consider,"Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Extremely useful,Very familiar,Moderately familiar,Moderately familiar,Slightly familiar,Working harmoniously,All these are critical tools to road maintenance and monitoring. Encourage usage across.
28,Pavement Management,session_1774942704_65fa9756,2026-03-31 10:59:29,KeRRA,Headquarters (national coordination),Deputy Director,> 20 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Public complaints; Engineer/Inspector judgement",Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Strongly agree,No,,Yes – measurements tend to focus on roads in poorer condition,Agree,Informal engineering judgement,Neither agree nor disagree,Institutional culture favouring established decision practices over analytical modelling,Large impact,Moderate impact,Large impact,Moderate impact,Large impact,Very likely to consider,"Demonstrated agreement with measured field data; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Moderately useful,Very useful,Moderately useful,Very useful,Moderately familiar,Not at all familiar,Moderately familiar,Moderately familiar,Use of analytical data for priotizing road maintenance and upgrading. This will ensure proper budget utilization and achievement of value for money and high ROI,"As stated above, use of data would ensure optimal usage of available limited budget for high output."
27,Pavement Management,session_1774867671_022f4980,2026-03-30 14:09:32,KeRRA,Hybrid,Assistant Director/Principal Engineer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",Not at all,Budget ceilings; Political or policy direction; Public complaints,"Irregular continuity (some repeated measurements, but inconsistent over time)",Not systematically recorded,Strongly disagree,Yes,Road class/strategic priority,No – measurements are distributed similarly across the network,Disagree,No formal forecasting,Strongly agree,Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints,Large impact,Large impact,Large impact,Very large impact,Very large impact,Cannot say either way,Demonstrated agreement with measured field data; Independent technical review or validation,Very useful,Very useful,Extremely useful,Extremely useful,Moderately familiar,Slightly familiar,Moderately familiar,Slightly familiar,Making decisions based on data collected to improve on budgetary allocations.,Making more awareness to the critical decision makers in the industry who are the politicians
26,Pavement Management,session_1774603296_1dced5b1,2026-03-27 12:41:14,KRB,Headquarters (national coordination),Deputy Director,10–20 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a small degree,Budget ceilings; Political or policy direction,Fully consistent continuity (systematic repeated measurements across years for most sections),Not systematically recorded,Strongly agree,Yes,Budget limitations; Other (please specify): Political influence,Yes – measurements tend to focus on roads in better condition,Strongly agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Agree,"Missing or unreliable maintenance histories; Limited integration between data systems (condition, maintenance, planning)",Large impact,Very large impact,Large impact,Large impact,Large impact,Likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Moderately useful,Extremely useful,Extremely useful,Extremely useful,Moderately familiar,Slightly familiar,Slightly familiar,Moderately familiar,"- Universal repository in the road sector as a database for all road data
- Use of ARICS for prioritization of road maintenance
- Conduct of comprehensive investigations and designs prior to implementation of road works
- procurement of roadworks only if budgets are available
- Budgetary enhancement for road maintenance",
25,Pavement Management,session_1774342344_420bf8ec,2026-03-26 13:02:07,KRB,Headquarters (national coordination),Other (specify): Engineer,5–10 years,Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury; Policy formulation,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a very large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Political or policy direction",Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded and partially linked to condition data,Strongly agree,Not sure,,No – measurements are distributed similarly across the network,Neither agree nor disagree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Agree,Limited technical skills or modelling expertise; Difficult accessibility of historical records,Large impact,Very large impact,Very large impact,Very large impact,Very large impact,Likely to consider,"Demonstrated agreement with measured field data; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Moderately useful,Moderately useful,Moderately useful,Slightly useful,Slightly familiar,Not at all familiar,Slightly familiar,Slightly familiar,"There is need for a central database for historical road network data such as annual road inventory condition survey and pavement data for accurate modelling.
There is need for training of engineers on modelling software and practical application.",There is need to include climate data (rainfall and temperature) to be able to forecast and model for climate resilient infrastructure.
24,Pavement Management,session_1774505899_c925e311,2026-03-26 09:30:15,KRB,"Regional office (regional work planning, implementation)",Other (specify): ENGINEER,< 5 years,Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Emergency requirements; Equity considerations (across regions/constituencies)",Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Agree,Not sure,,Yes – measurements tend to focus on roads in poorer condition,Agree,No formal forecasting,Agree,Budget constraints,Large impact,Large impact,Large impact,Very large impact,Very large impact,Unlikely to consider,Transparent modelling approach (clear methods and assumptions); Independent technical review or validation,Extremely useful,Very useful,Very useful,Moderately useful,Moderately familiar,Slightly familiar,Slightly familiar,Not at all familiar,Incorporation of Artificial Intelligence in planning maintenance,No
23,Pavement Management,session_1774457903_d1907b83,2026-03-25 21:34:53,KRB,Headquarters (national coordination),Assistant Director/Principal Engineer,10–20 years,Maintenance planning/prioritisation; Budget preparation and justification,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Engineering site inspection without formal rating",To a very large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements",Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded but generally not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Roads under special programmes; Complaint-driven inspections,No – measurements are distributed similarly across the network,Strongly agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Strongly agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Moderately familiar,Not at all familiar,Moderately familiar,Not at all familiar,Good record keeping of past and present pavement conditions data as a measure of the appropriateness of applied corrective interventions,No
22,Pavement Management,session_1774444928_a488aae1,2026-03-25 16:45:10,KRB,"Regional office (regional work planning, implementation)",Other (specify): Engineer,5–10 years,Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings)",Somewhat consistent continuity (repeated measurements for many sections),Recorded and systematically linked to condition data,Strongly agree,Yes,Equipment availability or personnel skills,No – measurements are distributed similarly across the network,Agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints,Very large impact,Large impact,Large impact,Large impact,Large impact,Likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Moderately useful,Moderately useful,Moderately useful,Very useful,Slightly familiar,Slightly familiar,Moderately familiar,Slightly familiar,.,Not at the moment
21,Pavement Management,session_1774441917_3ffce56e,2026-03-25 15:59:38,KRB,"Regional office (regional work planning, implementation)",Other (specify): Engineer,5–10 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,Budget ceilings,Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Agree,Yes,Traffic management or safety considerations,No – measurements are distributed similarly across the network,Agree,Other (please specify): Use of ARICS data,Agree,Budget constraints,Large impact,Large impact,Large impact,Large impact,Large impact,Very unlikely to consider,"Approval by a recognized authority (e.g., KRB)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Slightly familiar,Moderately familiar,Not at all familiar,"Implement a Performance-Based System
The current system is designed for unit-rate contracts. Shifting to a Performance-Based Road Management System (PBRMS) would tie contractor payments to the actual ""Level of Service"" (LOS) delivered. This approach, which requires digital tools for monitoring performance indicators, incentivizes quality workmanship and long-term durability.",NO
20,Pavement Management,session_1774438675_f3cbc4c5,2026-03-25 15:29:23,KRB,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,5–10 years,Pavement condition assessment; Maintenance planning/prioritisation; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Engineering site inspection without formal rating",To a small degree,Strategic corridor importance; Political or policy direction; Public complaints,Very limited continuity (only occasional repeats),Recorded and partially linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority,Yes – measurements tend to focus on roads in better condition,Agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Disagree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Institutional culture favouring established decision practices over analytical modelling,Large impact,Large impact,Large impact,Very large impact,Moderate impact,Unlikely to consider,"Demonstrated agreement with measured field data; Quantified uncertainty (e.g. confidence ranges); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Very familiar,Very familiar,Very familiar,Very familiar,"1. Capacity building of technical staff in Road Agencies
2. Harmonize road condition data collection tools 
3. Leverage on road deterioration models to prioritize road maintenance
4.Improve legal and institutional frameworks to support preventive road maintenance",
19,Pavement Management,session_1774431058_55a3f356,2026-03-25 12:37:57,KRB,"Regional office (regional work planning, implementation)",Other (specify): Engineer,< 5 years,Maintenance planning/prioritisation,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction",Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded and partially linked to condition data,Agree,Yes,Traffic importance; Budget limitations; Complaint-driven inspections,Yes – measurements tend to focus on roads in better condition,Strongly agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Strongly agree,"Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning)",Very large impact,Large impact,Moderate impact,Moderate impact,Large impact,Very likely to consider,Demonstrated agreement with measured field data,Extremely useful,Very useful,Moderately useful,Slightly useful,Moderately familiar,Not at all familiar,Slightly familiar,Not at all familiar,Use of AI to augment technical skills,We need to start training local AI models that will eventually understand the road network and propose solutions at a fundamental level.
